price_inr,product_rating
3673,4.5
4006,4.0
1359,4.8
1793,4.1
1629,4.8
1594,4.6
4271,3.6
3591,2.7
2137,3.4
2668,4.2
965,4.2
1737,4.0
829,3.2
1981,3.9
2634,3.5
3943,4.9
3670,4.6
3418,4.3
4234,3.1
629,3.1
2184,2.6
3879,4.3
1268,2.8
2890,3.6
2014,3.0
3984,4.7
3352,3.7
2932,3.9
1714,4.2
1454,2.8
2823,4.0
1683,3.8
958,3.0
3884,4.9
520,4.0
2799,4.2
1246,4.7
3403,4.1
4131,3.2
973,2.8
1581,3.6
3057,3.0
4252,3.5
2546,4.7
4046,3.3
3246,2.8
1474,3.4
2305,4.8
688,3.2
3504,4.1
3233,2.5
3504,3.4
1061,3.3
2398,2.9
4137,3.8
1766,3.7
3378,4.2
2027,3.2
3701,3.1
4055,2.9
4389,3.0
1145,3.9
2567,3.5
3387,2.7
2713,3.1
1796,3.1
2934,4.2
1099,4.3
2862,2.9
2560,5.0
740,3.2
2540,4.9
3323,3.5
3916,2.6
3111,3.4
3444,4.1
1862,4.2
2638,3.8
1889,3.6
3502,3.9
1977,4.0
3998,2.7
3055,3.4
1274,3.1
533,4.5
2752,3.7
3651,5.0
2454,3.5
2084,4.5
4442,4.5
3958,2.9
3572,3.8
1520,4.2
3960,4.6
3112,3.3
1628,3.1
4342,4.3
4392,4.5
1999,3.4
1201,2.7
2948,4.9
3276,3.5
2078,3.8
660,4.6
700,4.2
2480,4.3
1494,3.0
2816,3.9
4433,4.2
1314,3.1
3841,2.9
954,5.0
4032,3.8
4297,3.2
1774,5.0
1515,4.9
4272,3.9
2842,4.7
4295,3.0
3266,3.2
4319,4.3
836,4.6
1377,4.6
1575,3.5
1290,4.7
4492,4.6
2763,4.8
1262,4.5
2734,4.2
878,4.0
991,3.4
3611,4.9
1679,4.9
2561,3.2
4383,3.3
563,3.7
4427,3.6
4409,5.0
3067,2.9
1866,2.5
1651,3.7
2526,2.9
3194,3.4
1994,4.4
3633,4.3
1661,3.3
2021,3.9
3139,3.8
890,4.1
2197,3.1
