product_name,price_inr
Product_0,688
Product_1,658
Product_2,1646
Product_3,1325
Product_4,660
Product_5,2449
Product_6,2043
Product_7,302
Product_8,1904
Product_9,731
Product_10,2483
Product_11,687
Product_12,1887
Product_13,1601
Product_14,835
Product_15,2464
Product_16,1527
Product_17,870
Product_18,1433
Product_19,1813
Product_20,1927
Product_21,1600
Product_22,2445
Product_23,2275
Product_24,355
Product_25,482
Product_26,2353
Product_27,1116
Product_28,828
Product_29,2433
Product_30,1020
Product_31,1968
Product_32,1125
Product_33,949
Product_34,2390
Product_35,1877
Product_36,2289
Product_37,1176
Product_38,1324
Product_39,1618
Product_40,1378
Product_41,338
Product_42,2013
Product_43,1608
Product_44,2328
Product_45,1605
Product_46,1275
Product_47,1073
Product_48,681
Product_49,2360
Product_50,1762
Product_51,2173
Product_52,944
Product_53,1135
Product_54,2417
Product_55,368
Product_56,1719
Product_57,378
Product_58,580
Product_59,882
Product_60,1733
Product_61,1399
Product_62,715
Product_63,2132
Product_64,632
Product_65,884
Product_66,800
Product_67,1870
Product_68,433
Product_69,1762
Product_70,1840
Product_71,484
Product_72,1852
Product_73,524
Product_74,1531
Product_75,1563
Product_76,2329
Product_77,1520
Product_78,2306
Product_79,1852
Product_80,304
Product_81,382
Product_82,828
Product_83,1018
Product_84,1641
Product_85,1892
Product_86,2016
Product_87,2471
Product_88,888
Product_89,989
Product_90,1546
Product_91,814
Product_92,1867
Product_93,2157
Product_94,729
Product_95,1112
Product_96,762
Product_97,326
Product_98,2172
Product_99,2364
